english term	urdu equivalent
undeterminable	نا قابل معلوم
undetermined: method of undetermined coefficients	نا معلوم عددی سر کی ترکیب
under: area under the curve	رقبہ زیر منحنی
under: under the assumption	زیر مفروضہ
under damped	کم مقصور
under root (square root)	جذر
unicode, utf-8	عالمی علامتی روپ، یو ٹی ایف-8 
uniform	یکساں
union and intersection (sets)	اشتراک اور تقاطع
unique solution	یکتا حل
uniqueness	یکتائی
unitary matrix (quantum)	اکہرا قالب
unit impulse function	اکائی ضرب تفاعل
unit impulse response, unit step response, Dirac delta function, Heaviside step	اکائی ضرب ردعمل، اکائی سیڑھی ردعمل، ڈیراک ڈیلٹائی تفاعل
unit matrix	اکائی قالب
unit step function, Heaviside step function	اکائی سیڑھی تفاعل، ہیوی سائیڈ اکائی سیڑھی تفاعل
unit step function: time shifted	وقتی منقولہ اکائی سیڑھی تفاعل
universal (universal constant)	عالمگیر  (عالمگیر مستقل)
universal gravitational constant	عالمگیر تجاذبی مستقل
unstable	غیر قابو، نا پائیدار
upper, lower	بالائی، بالا، زیریں
Upside down, upright	سر نیچے، سر اوپر یا سیدھا کھڑا
uranium	یورینیم
Uranus planet	یورانس
usb: universal serial port	یو-ایس-بی
usual: as usual, [unusual]	ہمیشہ کی طرح، معمول کے مطابق، معمولاً، حسب معمول، [غیر معمولی]
vacuum tube	خلا نلکی
valence electrons	گرفتی الیکٹران
valency	کیمیائی گرفت
valid	کارآمد
value, evaluation	قیمت، تخمینہ
value: exceptional value (essential singularity)	مخصوص قیمت
van del Pol equation (Balthasar van der Pol)	مساوات ون در پول
Van der Waals interaction	ون در والس باہم عمل
vanish	معدوم
variable, variables, dependent, independent	 متغیرہ , متغیرات، متغیر، آزاد اور تابع متغیرہ
variable AC, DC	یک سمت  رومتغیر، بدلتا رو متغیر
variable capacitor	تغیر پذیر برق گیر
variable separation technique (ordinary differential equations)	علحدگی متغیرات تکنیک
variance, covariance	تغیریت، باہمی تغیریت
variation of parameter	مقدار معلوم بدلنے کا طریقہ
variational principle	اصول تغیریت
vector	سمتیہ
vector	سمتیہ: ایک ایسی لکیر جو ایک خاص سمت میں ایک ابتدائی نقطہ سے اختتامی نقطہ کی طرف کھینچی جائی
vector addition	جمع سمتیات
vector analysis	سمتی تجزیہ
vector components; matrix elements	سمتیہ کے اجزاء اور قالب کے ارکان
vector field	سمتی میدان
vector function; vector-valued function	سمتی تفاعل، سمت قیمت تفاعل
vector product, cross product	صلیبی ضرب، سمتی ضرب
vector projection	تظلیل سمتیہ
vector quantity	سمتی مقدار: وہ مقدار جو خط حامل سے ظاہر کی جائے
vector: row vector, column vector	سمتیہ صف، سمتیہ قطار
vector space, subspace	سمتی فضا، ذیلی فضا
vector: state vector	سمتیہ حال
vehicle	سواری
vein	رگ
velocity, (velocity vector)	سمتی رفتار،( سمتیہ رفتار)
velocity field	سمتی رفتاری میدان
velocity vector	سمتی رفتاری سمتیہ
velocity: phase velocity, group velocity	دوری رفتار، مجموعی رفتار، گروہی رفتار
Venn diagram: John Venn	وین اشکال: جان وین
Venus planet	زھرہ
Verhulst equation (logistic equation, population growth); Pierre Francois Verhulst	ورہلسٹ مساوات؛ پیّر فران
verify	تصدیق
version	انداز
versus	بمقابلہ، مقابل، بالمقابل
vertex, vertices of triangle	راس، راسیں، راسوں
vertex factors [quantum mech]	جزو ضربی راس
vertical	سیدھی کھڑی
vertical line, vertical plane	انتصابی خط، عمودی سطح
vertical, vertical axis	انتصابی محور، عمودی
vertically	عموداًً ، سیدھی کھڑی
vibrating body	مرتعش جسم
vibration	ارتعاش، لرزش
video	ویڈیو
violation	خلاف ورزی
violet colour	بنفشی
virial theorem	مسئلہ وریل
viscous, non viscous	چپچپا، غیر چپچپا
viscous, (viscocity)	
visible light	بصری شعاع
visible spectrum	مرئی طیف
VLSI very large scale integration	انتہائی وسیع  پیمانے   کے مخلوط ادوار
Volt-ampere	وولٹ ایمپیئر
voltage	برقی دباؤ
voltage applying	برقی دباؤ دینا یا لاگو کرنا
voltage fall	برقی دباؤ کا گھٹنا
voltage rise	برقی دباؤ کا چڑاو
voltage source, voltage supply	برقی دباؤ کی سپلائی
voltage transformation: impedance transformation	برقی دباؤ کا تبادلہ
voltage: peak voltage	کلاہی برقی دباؤ ؟؟؟؟
voltmeter	وولٹ پیما
volume	حجم
vortex, vorticity	گرداب، گردابیت
walter andrew shewhart	والٹر انڈرو شوہارٹ
warning	انتباہ، تنبیہ
 water way	پانی کی نالی
wave	لہر، موج
wave theory	نظریہ تموج
wave: amplitude	حیطہ
wave:carrier, modulating	سواری موج، سوار موج، سواری تعدد، سوار تعدد
wave: compression	دباؤ کی موج
wave: crest	فراز: موج کا وہ حصی جہاں واسطہ کے ذرات عام حالات سے بلندی پر ہوں فراز کہلاتے ہیں
wave: frequency	تعدد: تعدادِ ارتعاش کو تعدد کہتے ہیں
wave guide	مویج، رہبر موج
wave: longitudinal wave	طولی موج
wave: loudness	بلندی
wave: mean position, extreme position	وسطی نقتہ، انتہائی مقام
wave: wave number	عدد موج
wave: periodic motion	دوری حرکت
wave: pitch	
wave: plane	مستوی سطح
wave: quality	کیفیت
wave: rarefaction	پھیلاؤ کی موج
wave: reflected	انعکاسی موج
wave shapes: triangular, rectangular, square, saw tooth, sinusoidal	تکونی، مستطیل، چوکور، دندان، سائن نما
wave: time period	دوری عرصہ 
wave: transverse wave	عرضی موج
wave: trough	نشیب: موج کا وہ حصہ جہاں واسطہ کے ذرات عام حالت سے نیچے ہوں نشیب کہلاتے ہیں
wave: wave vector	سمتیہ موج
wave: vibration, vibrating body	ایک ارتعاش، مرتعش جسم
wave: wave length	طولِ موج
Weber (magnetism)	ویبر
weber's equation (maths); Heinrich weber	ہائنرک ویبر
Weddle's rule	قاعدہ ویڈل
wedge	پچر
weight function	تفاعل قدر
weightage	قدر
Well-conditioned	خوش خو، خوش خوئی
wheatstone bridge (sir charles wheatstone)	ویٹ سٹون پل، چارلس ویٹ سٹون
white dwarf	سفید بونا
wide range	وسیع حد
wien bridge oscillator	وائن مرتعش
Wien displacement law	وائن قانون ہٹاو
Wigner	وگنر
wilson	ولسن
William Sealy Gosset	ولیم سیلی گوسٹ
winding factor kw	لچھے کا جُزو ضربی
winding, to wind, wound	لپیٹنا، لپٹا ہوا
wind tunnel	ہوائی سرنگ
wire	تار
wireless	بے تار
wireless broadcast	بے تار نشریات
wiring: house wiring diagram	گھریلو تار بندی کا نقشہ
WKB approximation (Wentzel, Kramers, Brillouin)	ونٹزل کرامرس برلوان تخمین
Wooters, Zurek, Dieks	ووٹرز، زورک، ڈائکز
work integral	تکمل کام
working	کارکردگی
working origin; method of	ترکیب مبدا کام
Wronskian	ورونسکی
xor gate	بِلا شرکت آرگیٹ
x, y, z	ایکس، وائے، زیڈ
X ray	ایکس رے
y11: short-circuit input admittance	قصر دور داخلی فراوانی
y12: short-circuit  transadmittance	قصر دور فراوانی نما
y21: short-circuit  transadmittance	قصر دور فراوانی نما
y22: short-circuit output admittance	قصر دور خارجی فراوانی
Young's modulus of elasticity	ینگ مقیاس لچک
Y parameters: y11, y12, y21, y22 	Y مقدار
Yukawa potential	یوکاوا مخفیہ
Yukawa scattering	یوکاوا بکھراو
Zeeman effect	زیمان اثر
Zeeman splitting	زیمان بٹوارا
Zeeman: strong field zeeman splititng	طاقتور میدانی زیمان بٹوارا
Zeeman: weak field zeeman splitting	کمزور میدانی زیمان بٹوارا
Zeno effect	زینو اثر
Zeno paradox	زینو تضاد
zero: non zero	غیر صفر
zero crossing	عبور صفرصفر مقام انقطاع
zero point	نقطہ آغاز، نقطہ صفر، صفر نقطی
Zig-zag	بھل کھاتا،کنگی نما
zone	علاقہ
	
antiproton, antielectron, antineutron	ضد پروٹان، ضد الیکٹران، ضد نیوٹران
photon	نوریہ
ion	بارداریہ
anion	منفی بارداریہ
cation	مثبت بارداریہ
dianion	دوہرا منفی بارداریہ
dication	دوہرا مثبت بارداریہ
ionization	بارداری عمل
charged	باردار
ionized	باردارہ
ionic	بارداروی
ionic compound	بارداروی مرکب
monoatomic ion	یک جوہری بارداریہ
polyatomic ion	کثیر جوہری بارداریہ
electrode	برقیرہ
anode	مثبت برقیرہ
cathode	منفی برقیرہ
intrinsic (quantum mech)	خلقی
extrinsic (quantum mech)	غیر خلقی
integrated circuit (IC)	مخلوط دور
input (the thing being input)	ادخال
output (the thing being output)	اخراج
to input	داخل کرنا
to output	خارج کرنا
input( the point where things are input)	مدخل
output (the point where things are output)	مخرج
port (computer port)	روزن
cross symbol that crosses out	کاٹا
quantum	کوانٹم
quanta	کوانٹا
quantized	کوانٹاشدہ
quantization, quantization condition	کوانٹازنی، کوانٹازنی شرط
electronic configuration (in an atom)	برقیائی تقسیم، برقیائی تنظیم
pion, kion	پایون، کایون
microprocessor	
microcontroller	
computer	حاسب
calculator	عداد
reciprocal	
converse	
inverse	
negate	نفی کرنا
gyroscope	مسکن چرخی
gyromagnetic ratio	مسکن مقناطیسی نسبت ؟؟؟
artificial	مصنوعی
synthesis	تعلیف
synthesizer	معلف
synthetic	تعلیفی
avagadro constant	ایوگادرو مستقل
resolution	تحلیل
density of states	حالتوں کی کثافت
SI (system of units)	اکائیوں کا بین الاقوامی نظام
stoichiometry	کیمیائی مقادیر پیمائش
wavefunction	تفاعل موج [مذکر]
numerical difference method	عددی فرق کا طریقہ
vice versa	معکوس عکس، معکوس امر
reaction (chemistry)	تعامل
reactive (chemistry)	متعامل،  عامل
product (chemistry)	ماحصل
organic chemistry	نامیاتی کیمیا
inorganic chemistry	غیر نامیاتی کمییا
electronic structure	برقیاتی ساخت،[ الیکٹرانی ساخت: برقیات کے میدان کے لئے]
cohesion	ہم اتصالی
adhesion	غیر اتصالی
combustion	احتراق
electron, proton, neutron	پروٹان، الیکٹران، نیوٹران
electronic [pertaining to electrons]	الیکٹرانی
hydrogen, [hydrogenic]	ہائیڈروجن، [ہائیڈروجنی]
helium, parahelium, [orthohelium]	ہیلیم، نزدہیلیم، [ہیلیم پرست]
nitrogen	نائیٹروجن
oxygen	آکسیجن
lithium	لتھیم
beryllium	 بیریلیم 
neon	نیون
sodium	سوڈیم
magnesium	مگنیشیم
aluminium	سلور
silver	چاندی
argon	آرگن
calcium	کلشیم
potassium	پوٹاشیم
scandium	اسکینڈیم
zinc	جست
gallium	گلیم
